Addison Road-Seat Pleasant,Addison Road
Archives-Navy Memorial-Penn Quarter,Archives-Navy Memorial
Arlington Cemetery,Arlington Cemetery
Ballston-MU,Ballston
Brookland-CUA,Brookland
Dunn Loring-Merrifield,Dunn Loring
Foggy Bottom-GWU,Foggy Bottom
Franconia-Springfield,Franconia-Springfield
Gallery Pl-Chinatown,Gallery Place-Chinatown
Georgia Ave-Petworth,Georgia Avenue-Petworth
Grosvenor-Strathmore,Grosvenor
Morgan Boulevard,Morgan Blvd.
Mt Vernon Sq 7th St-Convention Center,Mt. Vernon Square-UDC
Potomac Ave,Potomac Avenue
Prince George's Plaza,Prince George's Plaza
Ronald Reagan Washington National Airport,Reagan Washington National Airport
Rhode Island Ave-Brentwood,Rhode Island Avenue
Shaw-Howard U,Shaw-Howard University
U Street/African-Amer Civil War Memorial/Cardozo,U Street-Cardozo
Vienna/Fairfax-GMU,Vienna
West Falls Church-VT/UVA,West Falls Church
Wiehle-Reston East,Wiehle
Woodley Park-Zoo/Adams Morgan,Woodley Park-Zoo
