STATION,RIDERS_PER_WEEKDAY
Greensboro,808.4666666666667
Spring Hill,1076.072727272727
McLean,1142.273076923077
Arlington Cemetery,1295.2939393939394
Cheverly,1430.4106060606064
Deanwood,1642.5833333333328
Eisenhower Avenue,1852.7227272727273
Morgan Blvd.,1950.4833333333336
Capitol Heights,2018.1015151515148
Landover,2100.4439393939397
Tysons Corner,2306.84
Forest Glen,2329.180303030303
Congress Heights,2714.277272727273
Stadium-Armory,2848.821212121212
Minnesota Avenue,2888.4787878787874
Naylor Road,2909.8272727272742
Benning Road,3042.980303030304
Addison Road,3330.172727272728
Van Dorn Street,3367.7075757575753
West Hyattsville,3724.919696969697
