,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
3666,201403,Greensboro,0.0
3489,201401,Greensboro,0.0
3585,201402,McLean,0.0
3526,201401,Tysons Corner,1.0
3497,201401,McLean,1.5
3760,201404,McLean,2.0
3958,201406,Spring Hill,2.2
3964,201406,Tysons Corner,3.8
3625,201402,Wiehle,4.0
3934,201406,McLean,4.1
3926,201406,Greensboro,4.3
3976,201406,Wiehle,25.6
4017,201407,Greensboro,209.2
3453,201401,Arlington Cemetery,321.3
3542,201402,Arlington Cemetery,336.9
4049,201407,Spring Hill,368.9
4025,201407,McLean,388.9
4436,201412,Arlington Cemetery,553.7
4345,201411,Arlington Cemetery,776.2
4472,201412,Greensboro,884.3
4108,201408,Greensboro,897.2
4381,201411,Greensboro,935.2
4199,201409,Greensboro,947.6
4290,201410,Greensboro,970.1
4055,201407,Tysons Corner,971.4
4163,201409,Arlington Cemetery,1131.3
4504,201412,Spring Hill,1140.6
3630,201403,Arlington Cemetery,1187.8
4254,201410,Arlington Cemetery,1200.5
4445,201412,Cheverly,1242.7
4413,201411,Spring Hill,1260.9
4480,201412,McLean,1280.2
4231,201409,Spring Hill,1294.2
3462,201401,Cheverly,1305.5
4140,201408,Spring Hill,1319.8
4322,201410,Spring Hill,1326.1
4354,201411,Cheverly,1330.3
3639,201403,Cheverly,1334.4
3551,201402,Cheverly,1348.8
4389,201411,McLean,1434.3
4116,201408,McLean,1441.0
4081,201408,Cheverly,1443.4
3470,201401,Deanwood,1447.9
4458,201412,Eisenhower Avenue,1454.9
4453,201412,Deanwood,1457.9
4362,201411,Deanwood,1465.8
4263,201410,Cheverly,1471.1
3726,201404,Cheverly,1471.9
4172,201409,Cheverly,1472.1
3813,201405,Cheverly,1493.1
