,STATION,RIDERS_PER_WEEKDAY,Lat,Lon,,,
1,Addison Road,3330.172727,38.886713,-76.893592,,,
2,Anacostia,7126.998485,38.862072,-76.995648,,,
3,Archives-Navy Memorial,8937.077273,38.893893,-77.021902,,,
4,Arlington Cemetery,1295.293939,38.884574,-77.063108,,,
5,Ballston,11515.80758,38.882071,-77.111845,,,
6,Benning Road,3042.980303,38.890488,-76.938291,,,
7,Bethesda,10332.92424,38.984282,-77.094431,,,
8,Braddock Road,4431.309091,38.814009,-77.053763,,,
9,Branch Avenue,6283.409091,38.826995,-76.912134,,,
10,Brookland,6728.457576,38.933234,-76.994544,,,
11,Capitol Heights,2018.101515,38.889757,-76.913382,,,
12,Capitol South,8041.365152,38.884968,-77.005137,,,
13,Cheverly,1430.410606,38.91652,-76.915427,,,
14,Clarendon,4574.533333,38.886373,-77.096963,,,
15,Cleveland Park,4413.390909,38.934703,-77.058226,,,
16,College Park- U of MD,,,,,,
17,Columbia Heights,12177.01667,38.928672,-77.032775,,,
18,Congress Heights,2714.277273,38.845334,-76.98817,,,
19,Court House,7398.727273,38.891499,-77.08391,,,
20,Crystal City,12683.1697,38.85779,-77.050589,,,
21,Deanwood,1642.583333,38.907734,-76.936177,,,
22,Dunn Loring,4830.633333,38.883015,-77.228939,,,
23,Dupont Circle,20246.1197,38.909499,-77.04362,,,
24,East Falls Church,4055.956061,38.885841,-77.157177,,,
25,Eastern Market,5933.756061,38.884124,-76.995334,,,
26,Eisenhower Avenue,1852.722727,38.800313,-77.071173,,,
27,Farragut North,24265.96818,38.903192,-77.039766,,,
28,Farragut West,21778.9803,38.901311,-77.03981,,,
29,Federal Center SW,5651.609091,38.884958,-77.01586,,,
30,Federal Triangle,8932.031818,38.893757,-77.028218,,,
31,Foggy Bottom,21255.23939,38.900599,-77.050273,,,
32,Forest Glen,2329.180303,39.015413,-77.042953,,,
33,Fort Totten,7381.598485,38.951777,-77.002174,,,Morgan Blvd
34,Franconia-Springfield,8306.418182,38.766129,-77.168797,,,
35,Friendship Heights,9255.365152,38.960744,-77.085969,,,
36,Gallery Place-Chinatown,25895.81364,38.89834,-77.021851,,,
37,Georgia Avenue-Petworth,5962.683333,38.936077,-77.024728,,,
38,Glenmont,5889.021212,39.061713,-77.05341,,,
39,Greenbelt,6486.257576,39.011036,-76.911362,,,
40,Greensboro,808.4666667,38.919749,-77.235192,,,
41,Grosvenor,5580.265152,39.029158,-77.10415,,,
42,Huntington,8250.006061,38.793841,-77.075301,,,
43,Judiciary Square,9012.972727,38.896084,-77.016643,,,
44,King St-Old Town,8563.609091,38.806474,-77.061115,,,
45,L'Enfant Plaza,20265.17576,38.884775,-77.021964,,,
46,Landover,2100.443939,38.934411,-76.890988,,,
47,Largo Town Center,4834.959091,38.9008,-76.8449,,,
48,McLean,1142.273077,38.924478,-77.210167,,,
49,McPherson Square,15756.04697,38.901316,-77.033652,,,
50,Medical Center,5841.45303,38.999947,-77.097253,,,
51,Metro Center,27283.76364,38.898303,-77.028099,,,
52,Minnesota Avenue,,,,,,
53,Mt. Vernon Square-UDC,4238.868182,38.905604,-77.022256,,,
54,Morgan Blvd,,,,,,
55,Navy Yard-Ballpark,8128.20303,38.876588,-77.005086,,,
56,Naylor Road,2909.827273,38.851187,-76.956565,,,
57,New Carrollton,8890.131818,38.947674,-76.872144,,,
58,NoMa-Gallaudet U,8087.780303,38.907407,-77.002961,,,
59,Pentagon,15787.59394,38.869349,-77.054013,,,
60,Pentagon City,15074.51515,38.863045,-77.059507,,,
61,Potomac Avenue,3746.509091,38.880841,-76.985721,,,
62,Prince George's Plaza,4986.554545,38.965276,-76.956182,,,
63,Reagan Washington National Airport,6111.660606,38.852985,-77.043805,,,
64,Rhode Island Avenue,5473.766667,38.920741,-76.995984,,,
65,Rockville,4627.190909,39.084215,-77.146424,,,
66,Rosslyn,15460.85455,38.896595,-77.07146,,,
67,Shady Grove,12889.99545,39.119819,-77.164921,,,
68,Shaw-Howard University,4901.666667,38.912919,-77.022194,,,
69,Silver Spring,12710.67727,38.993841,-77.031321,,,
70,Smithsonian,10887.47576,38.888022,-77.028232,,,
71,Southern Avenue,5305.531818,38.840974,-76.97536,,,
72,Spring Hill,1076.072727,38.929273,-77.241988,,,
73,Stadium-Armory,2848.821212,38.88594,-76.977485,,,
74,Suitland,5762.116667,38.843891,-76.932022,,,
75,Takoma,5693.59697,38.975532,-77.017834,,,
76,Tenleytown-AU,6969.259091,38.947808,-77.079615,,,
77,Twinbrook,4377.124242,39.062359,-77.121113,,,
78,Tysons Corner,2306.84,38.920056,-77.223314,,,
79,U Street-Cardozo,7055.924242,38.916489,-77.028938,,,
80,Union Station,31481.80758,38.897723,-77.006745,,,
81,Van Dorn Street,3367.707576,38.799193,-77.129407,,,
82,Van Ness-UDC,6672.422727,38.94362,-77.063511,,,
83,Vienna,12425.19697,38.877693,-77.271562,,,
84,Virginia Square-GMU,3830.60303,38.88331,-77.104267,,,
85,Waterfront,4066.312121,38.876221,-77.017491,,,
86,West Falls Church,8222.489394,38.90067,-77.189394,,,
87,West Hyattsville,3724.919697,38.954931,-76.969881,,,
88,Wheaton,4126.212121,39.038558,-77.051098,,,
89,White Flint,3883.524242,39.048043,-77.113131,,,
90,Wiehle,6069.376,38.947753,-77.340179,,,
91,Woodley Park,,,,,,
