STATION,RIDERS_PER_WEEKDAY
Addison Road,3330.172727
Anacostia,7126.998485
Archives-Navy Memorial,8937.077273
Arlington Cemetery,1295.293939
Ballston,11515.80758
Benning Road,3042.980303
Bethesda,10332.92424
Braddock Road,4431.309091
Branch Avenue,6283.409091
Brookland,6728.457576
Capitol Heights,2018.101515
Capitol South,8041.365152
Cheverly,1430.410606
Clarendon,4574.533333
Cleveland Park,4413.390909
College Park-U of MD,4531.748485
Columbia Heights,12177.01667
Congress Heights,2714.277273
Court House,7398.727273
Crystal City,12683.1697
Deanwood,1642.583333
Dunn Loring,4830.633333
Dupont Circle,20246.1197
East Falls Church,4055.956061
Eastern Market,5933.756061
Eisenhower Avenue,1852.722727
Farragut North,24265.96818
Farragut West,21778.9803
Federal Center SW,5651.609091
Federal Triangle,8932.031818
Foggy Bottom,21255.23939
Forest Glen,2329.180303
Fort Totten,7381.598485
Franconia-Springfield,8306.418182
Friendship Heights,9255.365152
Gallery Place-Chinatown,25895.81364
Georgia Avenue-Petworth,5962.683333
Glenmont,5889.021212
Greenbelt,6486.257576
Greensboro,808.4666667
Grosvenor,5580.265152
Huntington,8250.006061
Judiciary Square,9012.972727
King St-Old Town,8563.609091
L'Enfant Plaza,20265.17576
Landover,2100.443939
Largo Town Center,4834.959091
McLean,1142.273077
McPherson Square,15756.04697
Medical Center,5841.45303
Metro Center,27283.76364
Minnesota Avenue,2888.478788
Morgan Blvd.,1950.483333
Mt. Vernon Square-UDC,4238.868182
Navy Yard-Ballpark,8128.20303
Naylor Road,2909.827273
New Carrollton,8890.131818
NoMa-Gallaudet U,8087.780303
Pentagon,15787.59394
Pentagon City,15074.51515
Potomac Avenue,3746.509091
Prince George's Plaza,4986.554545
Reagan Washington National Airport,6111.660606
Rhode Island Avenue,5473.766667
Rockville,4627.190909
Rosslyn,15460.85455
Shady Grove,12889.99545
Shaw-Howard University,4901.666667
Silver Spring,12710.67727
Smithsonian,10887.47576
Southern Avenue,5305.531818
Spring Hill,1076.072727
Stadium-Armory,2848.821212
Suitland,5762.116667
Takoma,5693.59697
Tenleytown-AU,6969.259091
Twinbrook,4377.124242
Tysons Corner,2306.84
U Street-Cardozo,7055.924242
Union Station,31481.80758
Van Dorn Street,3367.707576
Van Ness-UDC,6672.422727
Vienna,12425.19697
Virginia Square-GMU,3830.60303
Waterfront,4066.312121
West Falls Church,8222.489394
West Hyattsville,3724.919697
Wheaton,4126.212121
White Flint,3883.524242
Wiehle,6069.376
Woodley Park-Zoo,7139.489394
