STATION,PERIOD,RIDERS_PER_WEEKDAY
Addison Road,AM Peak,134044.7
Addison Road,Evening,13072.300000000001
Addison Road,Late Night Peak,345.90000000000003
Addison Road,Midday,48778.60000000001
Addison Road,PM Peak,23820.299999999992
Anacostia,AM Peak,192929.29999999996
Anacostia,Evening,36022.999999999985
Anacostia,Late Night Peak,1198.8
Anacostia,Midday,130422.3
Anacostia,PM Peak,110140.39999999998
Archives-Navy Memorial,AM Peak,24979.399999999998
Archives-Navy Memorial,Evening,84254.7
Archives-Navy Memorial,Late Night Peak,1840.0999999999997
Archives-Navy Memorial,Midday,102962.59999999998
Archives-Navy Memorial,PM Peak,375888.1000000001
Arlington Cemetery,AM Peak,1059.5
Arlington Cemetery,Evening,5927.000000000002
Arlington Cemetery,Late Night Peak,36.2
Arlington Cemetery,Midday,44040.499999999985
Arlington Cemetery,PM Peak,34509.19999999999
Ballston,AM Peak,292771.2
Ballston,Evening,75078.4
Ballston,Late Night Peak,2211.5999999999995
Ballston,Midday,140076.59999999998
Ballston,PM Peak,250719.70000000004
Benning Road,AM Peak,102195.49999999999
Benning Road,Evening,14805.900000000003
Benning Road,Late Night Peak,514.2
Benning Road,Midday,52308.80000000002
Benning Road,PM Peak,31224.800000000003
Bethesda,AM Peak,209040.7
Bethesda,Evening,93071.40000000001
Bethesda,Late Night Peak,3216.600000000001
Bethesda,Midday,133144.70000000004
Bethesda,PM Peak,243669.3
Braddock Road,AM Peak,169951.6
Braddock Road,Evening,16483.499999999996
Braddock Road,Late Night Peak,445.5999999999999
Braddock Road,Midday,48630.29999999998
Braddock Road,PM Peak,57078.899999999994
Branch Avenue,AM Peak,304617.89999999997
Branch Avenue,Evening,14646.199999999999
Branch Avenue,Late Night Peak,277.19999999999993
Branch Avenue,Midday,59906.10000000002
Branch Avenue,PM Peak,35692.700000000004
Brookland,AM Peak,138755.1
Brookland,Evening,48531.3
Brookland,Late Night Peak,920.1999999999999
Brookland,Midday,109062.99999999996
Brookland,PM Peak,147344.3
Capitol Heights,AM Peak,78098.8
Capitol Heights,Evening,8104.600000000001
Capitol Heights,Late Night Peak,300.9
Capitol Heights,Midday,30180.299999999996
Capitol Heights,PM Peak,16648.700000000004
Capitol South,AM Peak,56739.90000000002
Capitol South,Evening,69783.8
Capitol South,Late Night Peak,1206.3000000000002
Capitol South,Midday,115184.00000000001
Capitol South,PM Peak,287906.39999999997
Cheverly,AM Peak,61950.49999999999
