,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
3450,201401,Addison Road,2763.5
3451,201401,Anacostia,6517.2
3452,201401,Archives-Navy Memorial,7625.9
3453,201401,Arlington Cemetery,321.3
3454,201401,Ballston,10629.0
3455,201401,Benning Road,2787.1
3456,201401,Bethesda,9587.5
3457,201401,Braddock Road,4014.8
3458,201401,Branch Avenue,5529.2
3459,201401,Brookland,6241.5
3460,201401,Capitol Heights,1836.0
3461,201401,Capitol South,6968.7
3462,201401,Cheverly,1305.5
3463,201401,Clarendon,4253.4
3464,201401,Cleveland Park,4195.0
3465,201401,College Park-U of MD,3566.7
3466,201401,Columbia Heights,11634.1
3467,201401,Congress Heights,2494.6
3468,201401,Court House,7148.2
3469,201401,Crystal City,10697.2
3470,201401,Deanwood,1447.9
3471,201401,Dunn Loring,4538.9
3472,201401,Dupont Circle,18699.6
3473,201401,East Falls Church,3507.3
3474,201401,Eastern Market,5511.2
3475,201401,Eisenhower Avenue,1550.5
3476,201401,Farragut North,23499.0
3477,201401,Farragut West,20834.0
3478,201401,Federal Center SW,4923.9
3479,201401,Federal Triangle,7517.6
3480,201401,Foggy Bottom,19443.3
3481,201401,Forest Glen,2191.7
3482,201401,Fort Totten,6772.1
3483,201401,Franconia-Springfield,6983.2
3484,201401,Friendship Heights,8684.0
3485,201401,Gallery Place-Chinatown,24094.6
3486,201401,Georgia Avenue-Petworth,5727.5
3487,201401,Glenmont,5508.9
3488,201401,Greenbelt,5479.7
3489,201401,Greensboro,0.0
3490,201401,Grosvenor,5138.2
3491,201401,Huntington,7173.2
3492,201401,Judiciary Square,8376.4
3493,201401,King St-Old Town,7168.6
3494,201401,L'Enfant Plaza,17305.1
3495,201401,Landover,1833.6
3496,201401,Largo Town Center,4237.6
3497,201401,McLean,1.5
3498,201401,McPherson Square,14801.6
3499,201401,Medical Center,5612.3
3500,201401,Metro Center,24267.8
3501,201401,Minnesota Avenue,2552.5
3502,201401,Morgan Blvd.,1721.0
3503,201401,Mt. Vernon Square-UDC,4082.7
3504,201401,Navy Yard-Ballpark,5638.9
3505,201401,Naylor Road,2654.2
3506,201401,New Carrollton,7849.4
3507,201401,NoMa-Gallaudet U,7249.4
3508,201401,Pentagon,14628.4
3509,201401,Pentagon City,13073.9
3510,201401,Potomac Avenue,3450.8
3511,201401,Prince George's Plaza,4277.0
3512,201401,Reagan Washington National Airport,4698.4
3513,201401,Rhode Island Avenue,5058.1
3514,201401,Rockville,4130.0
3515,201401,Rosslyn,13688.6
3516,201401,Shady Grove,11609.0
3517,201401,Shaw-Howard University,4635.2
3518,201401,Silver Spring,11205.3
3519,201401,Smithsonian,7036.2
3520,201401,Southern Avenue,4568.0
3521,201401,Stadium-Armory,2686.4
3522,201401,Suitland,5081.5
3523,201401,Takoma,5040.5
3524,201401,Tenleytown-AU,6331.5
3525,201401,Twinbrook,3890.9
3526,201401,Tysons Corner,1.0
3527,201401,U Street-Cardozo,6625.0
3528,201401,Union Station,29303.7
3529,201401,Van Dorn Street,2871.7
