STATION,RIDERS_PER_WEEKDAY
Addison Road,3252.808333333333
Anacostia,7157.666666666665
Archives-Navy Memorial,8747.475
Arlington Cemetery,1305.5416666666667
Ballston,11416.391666666668
Benning Road,3058.7083333333335
Bethesda,10450.141666666665
Braddock Road,4496.816666666667
Branch Avenue,6199.683333333333
Brookland,6614.5
Capitol Heights,2010.5416666666667
Capitol South,7752.091666666667
Cheverly,1414.8916666666667
Clarendon,4593.891666666667
Cleveland Park,4338.250000000001
College Park-U of MD,4443.341666666666
Columbia Heights,12274.766666666668
Congress Heights,2648.9750000000004
Court House,7509.783333333334
Crystal City,11725.75
Deanwood,1590.2333333333336
Dunn Loring,4861.375
Dupont Circle,20098.325
East Falls Church,4071.3916666666664
Eastern Market,5898.625
Eisenhower Avenue,1778.7416666666668
Farragut North,24152.88333333333
Farragut West,21904.05
Federal Center SW,5253.183333333334
Federal Triangle,8359.683333333332
Foggy Bottom,20240.80833333333
Forest Glen,2297.0666666666666
Fort Totten,7485.525000000001
Franconia-Springfield,7773.024999999999
Friendship Heights,9179.916666666666
Gallery Place-Chinatown,25316.091666666664
Georgia Avenue-Petworth,6090.508333333334
Glenmont,5984.766666666666
Greenbelt,6222.933333333333
Greensboro,538.6555555555556
Grosvenor,5521.5
Huntington,7953.166666666665
Judiciary Square,8780.625000000002
King St-Old Town,8572.333333333334
L'Enfant Plaza,19230.858333333334
Landover,1979.2333333333333
Largo Town Center,4773.383333333332
McLean,760.83
McPherson Square,15587.266666666668
Medical Center,5870.841666666667
Metro Center,26758.53333333333
Minnesota Avenue,2860.1
Morgan Blvd.,2133.1249999999995
Mt. Vernon Square-UDC,4358.575
Navy Yard-Ballpark,8293.958333333334
Naylor Road,2877.975
New Carrollton,8589.458333333334
NoMa-Gallaudet U,8591.925000000001
Pentagon,15200.491666666669
Pentagon City,14669.874999999998
Potomac Avenue,3677.808333333333
Prince George's Plaza,4910.55
Reagan Washington National Airport,6172.400000000001
Rhode Island Avenue,5732.474999999999
Rockville,4554.258333333333
Rosslyn,15023.991666666669
Shady Grove,12549.133333333333
Shaw-Howard University,5116.283333333333
Silver Spring,12427.208333333334
Smithsonian,10567.208333333334
Southern Avenue,5026.925
Spring Hill,958.9571428571429
Stadium-Armory,2894.0750000000003
Suitland,5407.166666666667
Takoma,5433.983333333333
Tenleytown-AU,6814.458333333333
Twinbrook,4289.399999999999
Tysons Corner,1945.2875
U Street-Cardozo,7428.191666666667
Union Station,31020.375
Van Dorn Street,3241.4249999999997
Van Ness-UDC,6396.05
Vienna,11854.641666666668
Virginia Square-GMU,3735.808333333334
Waterfront,3944.225
West Falls Church,7157.866666666669
West Hyattsville,3777.141666666667
Wheaton,4041.0083333333337
White Flint,3721.725
Wiehle,5307.5125
Woodley Park-Zoo,7145.05
