STATION,PERIOD,RIDERS_PER_WEEKDAY
Addison Road,AM Peak,1738.95
Addison Road,Evening,144.60000000000002
Addison Road,Late Night Peak,2.55
Addison Road,Midday,619.8
Addison Road,PM Peak,288.8
Anacostia,AM Peak,2673.3500000000004
Anacostia,Evening,415.95000000000005
Anacostia,Late Night Peak,13.75
Anacostia,Midday,1665.35
Anacostia,PM Peak,1611.5
Archives-Navy Memorial,AM Peak,337.85
Archives-Navy Memorial,Evening,968.2
Archives-Navy Memorial,Late Night Peak,19.6
Archives-Navy Memorial,Midday,1185.6
Archives-Navy Memorial,PM Peak,4896.65
Arlington Cemetery,AM Peak,12.95
Arlington Cemetery,Evening,3.6
Arlington Cemetery,Late Night Peak,1.6
Arlington Cemetery,Midday,190.0
Arlington Cemetery,PM Peak,154.25
Ballston,AM Peak,4226.95
Ballston,Evening,902.55
Ballston,Late Night Peak,14.6
Ballston,Midday,1832.85
Ballston,PM Peak,3372.6000000000004
Benning Road,AM Peak,1419.5
Benning Road,Evening,159.1
Benning Road,Late Night Peak,3.8499999999999996
Benning Road,Midday,684.65
Benning Road,PM Peak,402.79999999999995
Bethesda,AM Peak,2949.9
Bethesda,Evening,1170.3000000000002
Bethesda,Late Night Peak,23.5
Bethesda,Midday,1694.55
Bethesda,PM Peak,3600.05
Braddock Road,AM Peak,2726.75
Braddock Road,Evening,196.35
Braddock Road,Late Night Peak,4.1
Braddock Road,Midday,679.05
Braddock Road,PM Peak,814.55
Branch Avenue,AM Peak,4010.6000000000004
Branch Avenue,Evening,124.64999999999999
Branch Avenue,Late Night Peak,2.1
Branch Avenue,Midday,693.55
Branch Avenue,PM Peak,350.9
Brookland,AM Peak,2116.2
Brookland,Evening,576.95
Brookland,Late Night Peak,9.25
Brookland,Midday,1440.3
Brookland,PM Peak,1922.85
Capitol Heights,AM Peak,1128.0500000000002
Capitol Heights,Evening,90.15
Capitol Heights,Late Night Peak,2.3
Capitol Heights,Midday,396.04999999999995
Capitol Heights,PM Peak,205.6
Capitol South,AM Peak,835.3499999999999
Capitol South,Evening,759.5
Capitol South,Late Night Peak,5.449999999999999
Capitol South,Midday,1262.75
Capitol South,PM Peak,3527.2
Cheverly,AM Peak,745.45
Cheverly,Evening,38.85
Cheverly,Late Night Peak,0.5
Cheverly,Midday,191.35
Cheverly,PM Peak,128.1
Clarendon,AM Peak,1865.95
Clarendon,Evening,647.4000000000001
Clarendon,Late Night Peak,60.0
Clarendon,Midday,769.5
Clarendon,PM Peak,955.85
Cleveland Park,AM Peak,2079.95
Cleveland Park,Evening,337.55
Cleveland Park,Late Night Peak,6.699999999999999
Cleveland Park,Midday,816.15
Cleveland Park,PM Peak,587.85
College Park-U of MD,AM Peak,1613.85
College Park-U of MD,Evening,295.95
College Park-U of MD,Late Night Peak,5.65
College Park-U of MD,Midday,713.7
College Park-U of MD,PM Peak,1019.6
Columbia Heights,AM Peak,4297.9
Columbia Heights,Evening,1403.2
Columbia Heights,Late Night Peak,38.05
Columbia Heights,Midday,2506.75
Columbia Heights,PM Peak,3213.85
Congress Heights,AM Peak,1175.9
Congress Heights,Evening,138.45
Congress Heights,Late Night Peak,3.0
Congress Heights,Midday,603.05
Congress Heights,PM Peak,401.45000000000005
Court House,AM Peak,3212.75
Court House,Evening,520.1
Court House,Late Night Peak,11.8
Court House,Midday,1145.4
Court House,PM Peak,1814.6
Crystal City,AM Peak,3521.4
Crystal City,Evening,771.8
Crystal City,Late Night Peak,14.4
Crystal City,Midday,2019.5500000000002
Crystal City,PM Peak,4430.7
Deanwood,AM Peak,699.95
Deanwood,Evening,74.65
Deanwood,Late Night Peak,1.8
Deanwood,Midday,322.6
Deanwood,PM Peak,196.55
Dunn Loring,AM Peak,2382.25
Dunn Loring,Evening,170.0
Dunn Loring,Late Night Peak,3.3499999999999996
Dunn Loring,Midday,675.8
Dunn Loring,PM Peak,698.2
Dupont Circle,AM Peak,3592.6
Dupont Circle,Evening,3344.45
Dupont Circle,Late Night Peak,134.89999999999998
Dupont Circle,Midday,3130.6499999999996
Dupont Circle,PM Peak,7425.8
East Falls Church,AM Peak,2405.65
East Falls Church,Evening,163.75
East Falls Church,Late Night Peak,3.9
East Falls Church,Midday,593.0999999999999
East Falls Church,PM Peak,497.0
Eastern Market,AM Peak,2110.4
Eastern Market,Evening,649.8
Eastern Market,Late Night Peak,21.35
