STATION,RIDERS_PER_WEEKDAY
Addison Road,5503.1
Anacostia,12758.900000000001
Archives-Navy Memorial,14811.599999999999
Arlington Cemetery,716.5999999999999
Ballston,20481.800000000003
Benning Road,5268.6
Bethesda,18873.9
Braddock Road,8841.2
Branch Avenue,10165.5
Brookland,12024.3
Capitol Heights,3586.8
Capitol South,12745.1
Cheverly,2171.5
Clarendon,8507.5
Cleveland Park,7655.5
College Park-U of MD,7184.5
Columbia Heights,22915.5
Congress Heights,4584.1
Court House,13408.7
Crystal City,20884.1
Deanwood,2590.9
Dunn Loring,7731.5
Dupont Circle,35250.2
East Falls Church,7317.7
Eastern Market,10596.7
Eisenhower Avenue,2791.0
Farragut North,46193.2
Farragut West,39214.899999999994
Federal Center SW,10392.0
Federal Triangle,13638.9
Foggy Bottom,37981.8
Forest Glen,4239.700000000001
Fort Totten,14162.6
Franconia-Springfield,12882.2
Friendship Heights,16419.7
Gallery Place-Chinatown,47923.6
Georgia Avenue-Petworth,11767.3
Glenmont,11060.6
Greenbelt,10706.5
Greensboro,2039.5
Grosvenor,10092.7
Huntington,13148.0
Judiciary Square,16136.400000000001
King St-Old Town,13586.8
L'Enfant Plaza,35851.0
Landover,3135.8
Largo Town Center,8075.7
McLean,3062.1000000000004
McPherson Square,26891.1
Medical Center,10534.4
Metro Center,45898.399999999994
Minnesota Avenue,4455.7
Morgan Blvd.,3459.7
Mt. Vernon Square-UDC,8893.8
Navy Yard-Ballpark,12722.7
Naylor Road,4659.3
New Carrollton,13336.5
NoMa-Gallaudet U,16769.9
Pentagon,26996.5
Pentagon City,23557.699999999997
Potomac Avenue,6881.299999999999
Prince George's Plaza,8265.0
Reagan Washington National Airport,10682.1
Rhode Island Avenue,10766.6
Rockville,7882.0
Rosslyn,25638.6
Shady Grove,21806.6
Shaw-Howard University,9485.8
Silver Spring,22981.5
Smithsonian,13268.4
Southern Avenue,8885.9
Spring Hill,1972.0
Stadium-Armory,4660.0
Suitland,9252.7
Takoma,9980.3
Tenleytown-AU,12423.0
Twinbrook,7800.4
Tysons Corner,5367.8
U Street-Cardozo,12805.9
Union Station,54755.5
Van Dorn Street,5793.9
Van Ness-UDC,11669.7
Vienna,18268.7
Virginia Square-GMU,7262.799999999999
Waterfront,7654.9
West Falls Church,5025.3
West Hyattsville,6467.7
Wheaton,7251.8
White Flint,6959.6
Wiehle,13533.8
Woodley Park-Zoo,10726.9
