STATION,RIDERS_PER_WEEKDAY
Union Station,31481.807575757575
Metro Center,27283.763636363637
Gallery Place-Chinatown,25895.813636363644
Farragut North,24265.968181818185
Farragut West,21778.980303030305
Foggy Bottom,21255.2393939394
L'Enfant Plaza,20265.175757575755
Dupont Circle,20246.119696969694
Pentagon,15787.593939393932
McPherson Square,15756.04696969697
Rosslyn,15460.854545454538
Pentagon City,15074.51515151515
Shady Grove,12889.995454545455
Silver Spring,12710.677272727275
Crystal City,12683.169696969699
Vienna,12425.196969696963
Columbia Heights,12177.016666666666
Ballston,11515.807575757575
Smithsonian,10887.47575757576
Bethesda,10332.924242424244
