,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
5058,201506,Union Station,32517.0
4876,201504,Union Station,32313.0
5149,201507,Union Station,32048.5
4967,201505,Union Station,30789.4
5422,201510,Union Station,30571.8
4785,201503,Union Station,30530.6
4603,201501,Union Station,29126.5
4694,201502,Union Station,28904.1
5331,201509,Union Station,28666.0
4847,201504,Metro Center,28504.9
5240,201508,Union Station,28408.8
5513,201511,Union Station,28309.2
5029,201506,Metro Center,28221.2
5120,201507,Metro Center,27962.6
4832,201504,Gallery Place-Chinatown,26858.8
4938,201505,Metro Center,26752.9
5014,201506,Gallery Place-Chinatown,26251.3
5105,201507,Gallery Place-Chinatown,26140.8
4741,201503,Gallery Place-Chinatown,26035.4
4756,201503,Metro Center,25823.3
5393,201510,Metro Center,25582.5
4923,201505,Gallery Place-Chinatown,25512.6
5604,201512,Union Station,25500.9
5005,201506,Farragut North,25037.9
4823,201504,Farragut North,24969.2
4559,201501,Gallery Place-Chinatown,24787.4
4574,201501,Metro Center,24655.1
4914,201505,Farragut North,24508.6
5469,201511,Gallery Place-Chinatown,24438.3
5378,201510,Gallery Place-Chinatown,24424.6
5211,201508,Metro Center,24389.2
5560,201512,Gallery Place-Chinatown,24239.8
5369,201510,Farragut North,24229.8
4665,201502,Metro Center,24189.1
5484,201511,Metro Center,24184.1
4650,201502,Gallery Place-Chinatown,24091.9
5302,201509,Metro Center,24090.1
5096,201507,Farragut North,24066.2
4732,201503,Farragut North,23655.4
5575,201512,Metro Center,23559.8
5006,201506,Farragut West,23525.0
5196,201508,Gallery Place-Chinatown,23442.1
5009,201506,Foggy Bottom,23281.2
5100,201507,Foggy Bottom,23183.6
5278,201509,Farragut North,23153.9
5460,201511,Farragut North,23111.8
4641,201502,Farragut North,23109.6
4824,201504,Farragut West,23012.7
4550,201501,Farragut North,22975.0
4827,201504,Foggy Bottom,22916.7
