,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
3966,201406,Union Station,33797.2
3790,201404,Union Station,33671.5
4057,201407,Union Station,32419.5
3876,201405,Union Station,32365.5
4330,201410,Union Station,31532.2
4239,201409,Union Station,31445.9
3703,201403,Union Station,31306.6
3615,201402,Union Station,29949.7
4421,201411,Union Station,29934.6
3528,201401,Union Station,29303.7
4148,201408,Union Station,29272.0
3937,201406,Metro Center,29158.5
3763,201404,Metro Center,28811.1
4028,201407,Metro Center,28636.9
3849,201405,Metro Center,27754.0
4301,201410,Metro Center,27601.0
4512,201412,Union Station,27246.1
4210,201409,Metro Center,26927.7
3749,201404,Gallery Place-Chinatown,26702.2
3922,201406,Gallery Place-Chinatown,26635.0
4119,201408,Metro Center,26571.4
4013,201407,Gallery Place-Chinatown,26079.6
3676,201403,Metro Center,25991.0
3913,201406,Farragut North,25868.3
3662,201403,Gallery Place-Chinatown,25836.3
4286,201410,Gallery Place-Chinatown,25746.8
4392,201411,Metro Center,25574.6
3836,201405,Gallery Place-Chinatown,25452.7
4377,201411,Gallery Place-Chinatown,25392.9
4277,201410,Farragut North,25183.1
3740,201404,Farragut North,25131.0
4004,201407,Farragut North,25068.5
4468,201412,Gallery Place-Chinatown,25003.1
4104,201408,Gallery Place-Chinatown,24960.8
3588,201402,Metro Center,24922.7
4483,201412,Metro Center,24885.7
4186,201409,Farragut North,24852.9
3827,201405,Farragut North,24561.6
3500,201401,Metro Center,24267.8
3574,201402,Gallery Place-Chinatown,24236.9
3485,201401,Gallery Place-Chinatown,24094.6
3565,201402,Farragut North,23972.3
3653,201403,Farragut North,23706.4
4195,201409,Gallery Place-Chinatown,23652.2
3914,201406,Farragut West,23634.9
3476,201401,Farragut North,23499.0
4368,201411,Farragut North,23399.7
4281,201410,Foggy Bottom,23387.5
3741,201404,Farragut West,23382.6
4095,201408,Farragut North,23304.7
